rt	stimulus	response	trial_type	trial_index	time_elapsed	internal_node_id	slider_start	task	correct	accuracy	participant_id	ctime
7362	<p style='text-align:left'><b> Good response! </b><br><br><b> Katia: </b> <i>""I have no idea where Natalie is from. Is Natalie from the USA?""</i> <br><br> Katia's question sounds very natural in this context because it is natural for Katia to ask whether Natalie is from the USA if Katia doesn't know where Natalie is from.</p>	0	html-button-response	2	18141	0.0-1.0-2.0-0.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5654	<p style='text-align:left'><b>Here's the second practice example.</b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i></p>	0	html-slider-response	3	23798	0.0-2.0-0.0	50	practice	TRUE	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
2814	<p style='text-align:left'><b> Good response! </b><br><br><b>Xenia: </b><i>""I don't have any sisters. Have you met my sister yet?""</i> <br><br> Xenia's question does not sound very natural in this context. Her question implies that she has a sister, but she stated that she doesn't have any sisters.</p>	0	html-button-response	4	26615	0.0-2.0-2.0-0.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
7081	<p style='text-align:left'><b>Here's the third practice example.</b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i></p>	89	html-slider-response	5	33698	0.0-3.0-0.0	50	practice	TRUE	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
3064	<p style='text-align:left'><b> Good response! </b><br><br><b>Kerstin: </b> <i>""I am going on vacation to Ireland. Does Fritz realize that Joe is going with me?""</i> <br><br> Kerstin's question sounds very natural in this context.</p>	0	html-button-response	6	36765	0.0-3.0-2.0-0.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6750	<p style='text-align:left'><b> Here's the last practice example.</b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i></p>	0	html-slider-response	7	43521	0.0-4.0-0.0	50	practice	TRUE	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
1121	<p style='text-align:left'><b> Good response! </b><br><br><b>Mirko: </b><i>""I have no idea if Anna has any dogs. Is Samuel glad that Anna fed her dogs?""</i> <br><br> Mirko's question does not sound very natural in this context. Mirko's question implies that he thinks that Anna has dogs, but he stated that he doesn't know whether Anna has any dogs.</p>	0	html-button-response	8	44646	0.0-4.0-2.0-0.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
1899	<p style='text-align:left'><b>Great, you're ready to go!</b><br>To make sure you are paying attention, we have included some examples for which we know the right answer. If you read the examples carefully, you will definitely get those right.<br></p>	0	html-button-response	9	46547	0.0-5.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5605	<b>Gregory:</b><em> ""I don't know if Julian dances salsa. Did Kathleen confirm that Julian dances salsa?""</em>	10	html-slider-response	10	52155	0.0-6.0-0.0	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6222	<b>Autumn:</b><em> ""I don't know if John was ever reading ""Dune"". Has John recently continued reading ""Dune""?""</em>	8	html-slider-response	11	58379	0.0-6.0-0.1	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5723	<b>Cici:</b><em> ""I don't know if Stephen was ever in the habit of vaping. Has Stephen recently stopped vaping?""</em>	6	html-slider-response	12	64104	0.0-6.0-0.2	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5088	<b>Carolyn:</b><em> ""Mia is a nun. Did Ray acknowledge that Mia drank 2 cocktails last night?""</em>	70	html-slider-response	13	69194	0.0-6.0-0.3	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4356	<b>Marlo:</b><em> ""I don't know if this pizza has mushrooms on it. Does this pizza have mushrooms on it?""</em>	69	html-slider-response	14	73552	0.0-6.0-0.4	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4182	<b>Brenda:</b><em> ""Isabella is from Argentina. Did Kevin announce that Isabella ate a steak on Sunday?""</em>	67	html-slider-response	15	77737	0.0-6.0-0.5	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5989	<b>Heather:</b><em> ""I don't know if Owen shoveled snow last winter. Is Cynthia annoyed that Owen shoveled snow last winter?""</em>	10	html-slider-response	16	83731	0.0-6.0-0.6	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
3848	<b>Melissa:</b><em> ""I don't know if Grace visited her sister. Did Andrew say that Grace visited her sister?""</em>	76	html-slider-response	17	87582	0.0-6.0-0.7	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6673	<b>Charles:</b><em> ""I don't know if Jayden rented a car. Did Stephanie hear that Jayden rented a car?""</em>	85	html-slider-response	18	94259	0.0-6.0-0.8	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
8295	<b>James:</b><em> ""Zoe is 5 years old. Did Tim demonstrate that Zoe calculated the tip?""</em>	84	html-slider-response	19	102558	0.0-6.0-0.9	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6046	<b>Arlen:</b><em> ""I don't know if anyone was playing outside with the kids. Was it Jack who was playing outside with the kids?""</em>	86	html-slider-response	20	108608	0.0-6.0-0.10	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4264	<b>Diane:</b><em> ""I don't know if Olivia sleeps until noon. Did Jerry admit that Olivia sleeps until noon?""</em>	43	html-slider-response	21	112876	0.0-6.0-0.11	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6504	<b>Margaret:</b><em> ""Josh is a 75-year old man. Did Sharon establish that Josh learned to ride a bike yesterday?""</em>	29	html-slider-response	22	119383	0.0-6.0-0.12	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5514	<b>Shirley:</b><em> ""I don't know if Jackson ran 10 miles. Did Laura suggest that Jackson ran 10 miles?""</em>	58	html-slider-response	23	124900	0.0-6.0-0.13	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6596	<b>Saskia:</b><em> ""I don't know if William was ever interested in history. Is William interested in history again?""</em>	5	html-slider-response	24	131499	0.0-6.0-0.14	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
3790	<b>Matthew:</b><em> ""I don't know if Sophia got a tattoo. Did Ben discover that Sophia got a tattoo?""</em>	73	html-slider-response	25	135291	0.0-6.0-0.15	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6523	<b>Robert:</b><em> ""Emma is in law school. Is Justin right that Emma studied on Saturday morning?""</em>	84	html-slider-response	26	141816	0.0-6.0-0.16	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
3648	<b>Leia:</b><em> ""I don't know if Ann plays any instrument. Does Ann play the flute, too?""</em>	3	html-slider-response	27	145466	0.0-6.0-0.17	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4813	<b>Ruth:</b><em> ""I don't know if Frank got a cat. Did Melissa see that Frank got a cat?""</em>	76	html-slider-response	28	150281	0.0-6.0-0.18	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
7877	<b>Pax:</b><em> ""Hendrick was looking to buy a car. Was Hendrick's car expensive?""</em>	72	html-slider-response	29	158165	0.0-6.0-0.19	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4530	<b>Ike:</b><em> ""Mary visited her aunt yesterday. Is Mary's aunt sick?""</em>	76	html-slider-response	30	162697	0.0-6.0-0.20	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6472	<b>Samuel:</b><em> ""I don't know if Josie went on vacation to France. Did Scott pretend that Josie went on vacation to France?""</em>	66	html-slider-response	31	169172	0.0-6.0-0.21	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5305	<b>Raymond:</b><em> ""Danny loves cake. Did Amanda prove that Danny ate the last cupcake?""</em>	88	html-slider-response	32	174480	0.0-6.0-0.22	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
8315	<b>Sandra:</b><em> ""I don't know if Tony had a drink last night. Did Rebecca inform Sam that Tony had a drink last night?""</em>	13	html-slider-response	33	182797	0.0-6.0-0.23	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
3482	<b>Finn:</b><em> ""I don't know if Samantha has a new hat. Does Samantha have a new hat?""</em>	85	html-slider-response	34	186283	0.0-6.0-0.24	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5034	<b>Raymond:</b><em> ""I don't know if Jon walks to work. Does Ruth know that Jon walks to work?""</em>	80	html-slider-response	35	191320	0.0-6.0-0.25	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
2307	<b>William:</b><em> ""I don't know if Emily bought a car yesterday. Does Brian think that Emily bought a car yesterday?""</em>	87	html-slider-response	36	193629	0.0-6.0-0.26	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
4414	<b>Brandon:</b><em> ""Mary is a middle school student. Did Patrick confess that Mary is pregnant?""</em>	1	html-slider-response	37	198045	0.0-6.0-0.27	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
6627	<b>Daniel:</b><em> ""Charley lives in Mexico. Did Anna reveal that Charley speaks Spanish?""</em>	83	html-slider-response	38	204678	0.0-6.0-0.28	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
5130	<b>Dalton:</b><em> ""I don't know if Svenja plays any sport. Does Svenja also play soccer?""</em>	84	html-slider-response	39	209811	0.0-6.0-0.29	50	target	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
12218	NA	{""P0_Q0"":null,""age"":""30"",""gender"":""male"",""language"":""yes"",""amE"":""yes"",""comments"":""""}	survey	40	222113	0.0-7.0	NA	demographics	NA	[]	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
19202	<p>You're done! Thanks for participating! <br>
  The completion code is <b>C1HNU5GM</b>.</p>	0	html-button-response	41	241317	0.0-8.0	NA	NA	NA	NA	566ac6d4-b522-485b-bcca-7110decaa26e	2023-07-06 14:13:02 CEST
